house,bill_number,bill_name,status,submission_date
shugiin,217,令和六年度一般会計予備費使用総調書及び各省各庁所管使用調書（その２）,衆議院で審議中,経過
shugiin,決算,216,令和五年度一般会計歳入歳出決算,衆議院で審議中
shugiin,決算,216,令和五年度特別会計歳入歳出決算,衆議院で審議中
shugiin,決算,216,令和五年度国税収納金整理資金受払計算書,衆議院で審議中
shugiin,決算,216,令和五年度政府関係機関決算書,衆議院で審議中
shugiin,国有財産,216,令和五年度国有財産増減及び現在額総計算書,衆議院で審議中
shugiin,国有財産,216,令和五年度国有財産無償貸付状況総計算書,衆議院で審議中
shugiin,ＮＨＫ決算,207,日本放送協会令和二年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書,衆議院で審議中
shugiin,ＮＨＫ決算,210,日本放送協会令和三年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書,衆議院で審議中
shugiin,ＮＨＫ決算,212,日本放送協会令和四年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書,衆議院で審議中
shugiin,ＮＨＫ決算,216,日本放送協会令和五年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書,衆議院で審議中
shugiin,217,1,国際協同組合年に当たり協同組合の振興を図る決議案,本院可決
shugiin,217,2,衆議院規則の一部を改正する規則案,衆議院で審議中
shugiin,217,2,衆議院情報監視審査会規程の一部を改正する規程案,本院可決
